resource_id,activity_id,shift_day,start_travel_time,activity_start,activity_end,duration,expected_travel_time
R1,A126,2024-06-11,2024-06-11 07:00:00+00:00,2024-06-11 07:13:12+00:00,2024-06-11 08:13:12+00:00,0 days 01:00:00,0 days 00:13:12
R1,A104,2024-06-11,2024-06-11 08:13:12+00:00,2024-06-11 08:19:13+00:00,2024-06-11 09:19:13+00:00,0 days 01:00:00,0 days 00:06:01
R1,A89,2024-06-11,2024-06-11 09:19:13+00:00,2024-06-11 09:29:28+00:00,2024-06-11 10:29:28+00:00,0 days 01:00:00,0 days 00:10:15
R1,A96,2024-06-11,2024-06-11 10:29:28+00:00,2024-06-11 10:33:30+00:00,2024-06-11 11:33:30+00:00,0 days 01:00:00,0 days 00:04:02
R1,A60,2024-06-11,2024-06-11 11:33:30+00:00,2024-06-11 11:37:56+00:00,2024-06-11 12:37:56+00:00,0 days 01:00:00,0 days 00:04:26
R1,A42,2024-06-11,2024-06-11 12:37:56+00:00,2024-06-11 12:52:03+00:00,2024-06-11 13:52:03+00:00,0 days 01:00:00,0 days 00:14:07
R1,A78,2024-06-11,2024-06-11 13:52:03+00:00,2024-06-11 13:53:10+00:00,2024-06-11 14:53:10+00:00,0 days 01:00:00,0 days 00:01:07
R1,TRAVEL_HOME,2024-06-11,2024-06-11 14:56:49+00:00,2024-06-11 15:00:00+00:00,,0,0 days 00:03:11
R10,A16,2024-06-11,2024-06-11 07:00:00+00:00,2024-06-11 07:09:46+00:00,2024-06-11 08:09:46+00:00,0 days 01:00:00,0 days 00:09:46
R10,A32,2024-06-11,2024-06-11 08:09:46+00:00,2024-06-11 08:10:21+00:00,2024-06-11 09:10:21+00:00,0 days 01:00:00,0 days 00:00:35
R10,A51,2024-06-11,2024-06-11 09:10:21+00:00,2024-06-11 09:15:02+00:00,2024-06-11 10:15:02+00:00,0 days 01:00:00,0 days 00:04:41
R10,A90,2024-06-11,2024-06-11 10:15:02+00:00,2024-06-11 10:19:42+00:00,2024-06-11 11:19:42+00:00,0 days 01:00:00,0 days 00:04:40
R10,A56,2024-06-11,2024-06-11 11:19:42+00:00,2024-06-11 11:32:37+00:00,2024-06-11 12:32:37+00:00,0 days 01:00:00,0 days 00:12:55
R10,A55,2024-06-11,2024-06-11 12:32:37+00:00,2024-06-11 12:34:47+00:00,2024-06-11 13:34:47+00:00,0 days 01:00:00,0 days 00:02:10
R10,A13,2024-06-11,2024-06-11 13:34:47+00:00,2024-06-11 13:40:48+00:00,2024-06-11 14:40:48+00:00,0 days 01:00:00,0 days 00:06:01
R10,TRAVEL_HOME,2024-06-11,2024-06-11 14:43:51+00:00,2024-06-11 15:00:00+00:00,,0,0 days 00:16:09
R11,A65,2024-06-11,2024-06-11 07:00:00+00:00,2024-06-11 07:02:39+00:00,2024-06-11 08:02:39+00:00,0 days 01:00:00,0 days 00:02:39
R11,A33,2024-06-11,2024-06-11 08:02:39+00:00,2024-06-11 08:14:51+00:00,2024-06-11 09:14:51+00:00,0 days 01:00:00,0 days 00:12:12
R11,A7,2024-06-11,2024-06-11 09:14:51+00:00,2024-06-11 09:16:09+00:00,2024-06-11 10:16:09+00:00,0 days 01:00:00,0 days 00:01:18
R11,A93,2024-06-11,2024-06-11 10:16:09+00:00,2024-06-11 10:23:26+00:00,2024-06-11 11:23:26+00:00,0 days 01:00:00,0 days 00:07:17
R11,A115,2024-06-11,2024-06-11 11:23:26+00:00,2024-06-11 11:27:38+00:00,2024-06-11 12:27:38+00:00,0 days 01:00:00,0 days 00:04:12
R11,A8,2024-06-11,2024-06-11 12:27:38+00:00,2024-06-11 12:40:58+00:00,2024-06-11 13:40:58+00:00,0 days 01:00:00,0 days 00:13:20
R11,A87,2024-06-11,2024-06-11 13:40:58+00:00,2024-06-11 13:45:50+00:00,2024-06-11 14:45:50+00:00,0 days 01:00:00,0 days 00:04:52
